spanish_name;english_name;iso3;phone_code;currency_name;currency_code;currency_symbol
Afganistán;Afghanistan;AFG;93;Afgani afgano;AFN;None
Albania;Albania;ALB;355;Lek albanés;ALL;None
Alemania;Germany;DEU;49;Euro;EUR;€
Andorra;Andorra;AND;376;Euro;EUR;€
Angola;Angola;AGO;244;Kwanza angoleño;AOA;None
Anguila;Anguilla;AIA;1 264;None;None;None
Antártida;Antarctica;ATA;672;None;None;None
Antigua y Barbuda;Antigua and Barbuda;ATG;1 268;Dólar del Caribe Oriental;XCD;None
Arabia Saudita;Saudi Arabia;SAU;966;Riyal saudí;SAR;None
Argelia;Algeria;DZA;213;Dinar argelino;DZD;None
Argentina;Argentina;ARG;54;Peso;ARS;None
Armenia;Armenia;ARM;374;Dram armenio;AMD;None
Aruba;Aruba;ABW;297;None;None;None
Australia;Australia;AUS;61;Dólar australiano;AUD;$
Austria;Austria;AUT;43;Euro;EUR;€
Azerbaiyán;Azerbaijan;AZE;994;Manat azerí;AZN;None
Bélgica;Belgium;BEL;32;Euro;EUR;€
Bahamas;Bahamas;BHS;1 242;Dólar bahameño;BSD;None
Bahrein;Bahrain;BHR;973;None;None;None
Bangladesh;Bangladesh;BGD;880;None;None;None
Barbados;Barbados;BRB;1 246;Dólar de Barbados;BBD;None
Belice;Belize;BLZ;501;Dólar beliceño;BZD;None
Benín;Benin;BEN;229;Franco CFA de África Occidental;XOF;None
Bhután;Bhutan;BTN;975;None;None;None
Bielorrusia;Belarus;BLR;375;Rublo bielorruso;BYN;None
Birmania;Myanmar;MMR;95;Kyat birmano;MMK;None
Bolivia;Bolivia;BOL;591;Boliviano;BOB;None
Bosnia y Herzegovina;Bosnia and Herzegovina;BIH;387;None;None;None
Botsuana;Botswana;BWA;267;Pula;BWP;None
Brasil;Brazil;BRA;55;Real brasileño;BRL;R$
Brunéi;Brunei;BRN;673;Dólar de Brunéi;BND;None
Bulgaria;Bulgaria;BGR;359;Lev búlgaro;BGN;лB
Burkina Faso;Burkina Faso;BFA;226;Franco CFA de África Occidental;XOF;None
Burundi;Burundi;BDI;257;Franco de Burundi;BIF;None
Cabo Verde;Cape Verde;CPV;238;Escudo caboverdiano;CVE;None
Camboya;Cambodia;KHM;855;Riel camboyano;KHR;None
Camerún;Cameroon;CMR;237;Franco CFA de África Central;XAF;None
Canadá;Canada;CAN;1;Dólar canadiense;CAD;$
Chad;Chad;TCD;235;Franco CFA de África Central;XAF;None
Chile;Chile;CHL;56;Peso chileno;CLP;None
China;China;CHN;86;Yuan chino;CNY;¥
Chipre;Cyprus;CYP;357;Euro;EUR;€
Ciudad del Vaticano;Vatican City State;VAT;39;Euro;EUR;€
Colombia;Colombia;COL;57;Peso colombiano;COP;None
Comoras;Comoros;COM;269;Franco comorano;KMF;None
República del Congo;Republic of the Congo;COG;242;None;None;None
República Democrática del Congo;Democratic Republic of the Congo;COD;243;Franco congoleño;CDF;None
Corea del Norte;North Korea;PRK;850;Won norcoreano;KPW;None
Corea del Sur;South Korea;KOR;82;Won surcoreano;KRW;₩
Costa de Marfil;Ivory Coast;CIV;225;Franco CFA de África Occidental;XOF;None
Costa Rica;Costa Rica;CRI;506;Colón costarricense;CRC;None
Croacia;Croatia;HRV;385;Euro;EUR;€
Cuba;Cuba;CUB;53;Peso cubano;CUP;None
Curazao;Curaçao;CWU;5999;None;None;None
Dinamarca;Denmark;DNK;45;Corona danesa;DKK;kr
Dominica;Dominica;DMA;1 767;Dólar del Caribe Oriental;XCD;None
Ecuador;Ecuador;ECU;593;Dólar estadounidense;USD;$
Egipto;Egypt;EGY;20;Libra egipcia;EGP;None
El Salvador;El Salvador;SLV;503;Dólar estadounidense;USD;$
Emiratos Árabes Unidos;United Arab Emirates;ARE;971;Dirham de los Emiratos Árabes Unidos;AED;None
Eritrea;Eritrea;ERI;291;Nakfa;ERN;None
Eslovaquia;Slovakia;SVK;421;Euro;EUR;€
Eslovenia;Slovenia;SVN;386;Euro;EUR;€
España;Spain;ESP;34;Euro;EUR;€
Estados Unidos de América;United States of America;USA;1;None;None;None
Estonia;Estonia;EST;372;Euro;EUR;€
Etiopía;Ethiopia;ETH;251;Birr etíope;ETB;None
Filipinas;Philippines;PHL;63;Peso filipino;PHP;₱
Finlandia;Finland;FIN;358;Euro;EUR;€
Fiyi;Fiji;FJI;679;Dólar fiyiano;FJD;None
Francia;France;FRA;33;Euro;EUR;€
Gabón;Gabon;GAB;241;Franco CFA de África Central;XAF;None
Gambia;Gambia;GMB;220;Dalasi;GMD;None
Georgia;Georgia;GEO;995;Lari georgiano;GEL;None
Ghana;Ghana;GHA;233;Cedi;GHS;None
Gibraltar;Gibraltar;GIB;350;None;None;None
Granada;Grenada;GRD;1 473;Dólar del Caribe Oriental;XCD;None
Grecia;Greece;GRC;30;Euro;EUR;€
Groenlandia;Greenland;GRL;299;None;None;None
Guadalupe;Guadeloupe;GLP;590;None;None;None
Guam;Guam;GUM;1 671;None;None;None
Guatemala;Guatemala;GTM;502;Quetzal guatemalteco;GTQ;None
Guayana Francesa;French Guiana;GUF;594;None;None;None
Guernsey;Guernsey;GGY;44;None;None;None
Guinea;Guinea;GIN;224;Franco guineano;GNF;None
Guinea Ecuatorial;Equatorial Guinea;GNQ;240;Franco CFA de África Central;XAF;None
Guinea-Bissau;Guinea-Bissau;GNB;245;None;None;None
Guyana;Guyana;GUY;592;Dólar guyanés;GYD;None
Haití;Haiti;HTI;509;Gourde haitiano;HTG;None
Honduras;Honduras;HND;504;Lempira hondureño;HNL;None
Hong kong;Hong Kong;HKG;852;None;None;None
Hungría;Hungary;HUN;36;Forinto húngaro;HUF;Ft
India;India;IND;91;Rupia india;INR;₨
Indonesia;Indonesia;IDN;62;Rupia indonesia;IDR;Rp
Irán;Iran;IRN;98;Rial iraní;IRR;None
Irak;Iraq;IRQ;964;Dinar iraquí;IQD;None
Irlanda;Ireland;IRL;353;Euro;EUR;€
Isla Bouvet;Bouvet Island;BVT;None;None;None;None
Isla de Man;Isle of Man;IMN;44;None;None;None
Isla de Navidad;Christmas Island;CXR;61;None;None;None
Isla Norfolk;Norfolk Island;NFK;672;None;None;None
Islandia;Iceland;ISL;354;Corona islandes;ISK;None
Islas Bermudas;Bermuda Islands;BMU;1 441;None;None;None
Islas Caimán;Cayman Islands;CYM;1 345;None;None;None
Islas Cocos (Keeling);Cocos (Keeling) Islands;CCK;61;None;None;None
Islas Cook;Cook Islands;COK;682;None;None;None
Islas de Åland;Åland Islands;ALA;358;None;None;None
Islas Feroe;Faroe Islands;FRO;298;None;None;None
Islas Georgias del Sur y Sandwich del Sur;South Georgia and the South Sandwich Islands;SGS;500;None;None;None
Islas Heard y McDonald;Heard Island and McDonald Islands;HMD;None;None;None;None
Islas Maldivas;Maldives;MDV;960;None;None;None
Islas Malvinas;Falkland Islands (Malvinas);FLK;500;None;None;None
Islas Marianas del Norte;Northern Mariana Islands;MNP;1 670;None;None;None
Islas Marshall;Marshall Islands;MHL;692;Dólar estadounidense;USD;$
Islas Pitcairn;Pitcairn Islands;PCN;870;None;None;None
Islas Salomón;Solomon Islands;SLB;677;Dólar de las Islas Salomón;SBD;None
Islas Turcas y Caicos;Turks and Caicos Islands;TCA;1 649;None;None;None
Islas Ultramarinas Menores de Estados Unidos;United States Minor Outlying Islands;UMI;246;None;None;None
Islas Vírgenes Británicas;Virgin Islands;VGB;1 284;None;None;None
Islas Vírgenes de los Estados Unidos;United States Virgin Islands;VIR;1 340;None;None;None
Israel;Israel;ISR;972;Nuevo shéquel;ILS;₪
Italia;Italy;ITA;39;Euro;EUR;€
Jamaica;Jamaica;JAM;1 876;Dólar jamaiquino;JMD;None
Japón;Japan;JPN;81;Yen;JPY;¥
Jersey;Jersey;JEY;44;None;None;None
Jordania;Jordan;JOR;962;Dinar jordano;JOD;None
Kazajistán;Kazakhstan;KAZ;7;Tenge kazajo;KZT;None
Kenia;Kenya;KEN;254;Chelín keniano;KES;None
Kirguistán;Kyrgyzstan;KGZ;996;Som kirguís;KGS;None
Kiribati;Kiribati;KIR;686;Dólar australiano;AUD;$
Kuwait;Kuwait;KWT;965;Dinar kuwaití;KWD;None
Líbano;Lebanon;LBN;961;Libra libanesa;LBP;None
Laos;Laos;LAO;856;Kip laosiano;LAK;None
Lesoto;Lesotho;LSO;266;Loti;LSL;None
Letonia;Latvia;LVA;371;Euro;EUR;€
Liberia;Liberia;LBR;231;Dólar liberiano;LRD;None
Libia;Libya;LBY;218;Dinar libio;LYD;None
Liechtenstein;Liechtenstein;LIE;423;Franco suizo;CHF;CHF
Lituania;Lithuania;LTU;370;Euro;EUR;€
Luxemburgo;Luxembourg;LUX;352;Euro;EUR;€
México;Mexico;MEX;52;Peso mexicano;MXN;$
Mónaco;Monaco;MCO;377;Euro;EUR;€
Macao;Macao;MAC;853;None;None;None
Macedônia;Macedonia;MKD;389;None;None;None
Madagascar;Madagascar;MDG;261;Ariary malgache;MGA;None
Malasia;Malaysia;MYS;60;Ringgit malayo;MYR;RM
Malawi;Malawi;MWI;265;None;None;None
Mali;Mali;MLI;223;None;None;None
Malta;Malta;MLT;356;Euro;EUR;€
Marruecos;Morocco;MAR;212;Dirham marroquí;MAD;None
Martinica;Martinique;MTQ;596;None;None;None
Mauricio;Mauritius;MUS;230;Rupia de Mauricio;MUR;None
Mauritania;Mauritania;MRT;222;Uguiya;MRO;None
Mayotte;Mayotte;MYT;262;None;None;None
Micronesia;Estados Federados de;FSM;691;Dólar estadounidense;USD;$
Moldavia;Moldova;MDA;373;Leu moldavo;MDL;None
Mongolia;Mongolia;MNG;976;Tugrik mongol;MNT;None
Montenegro;Montenegro;MNE;382;Euro;EUR;€
Montserrat;Montserrat;MSR;1 664;None;None;None
Mozambique;Mozambique;MOZ;258;Metical mozambiqueño;MZN;None
Namibia;Namibia;NAM;264;Dólar namibio;NAD;None
Nauru;Nauru;NRU;674;Dólar australiano;AUD;$
Nepal;Nepal;NPL;977;Rupia nepalí;NPR;None
Nicaragua;Nicaragua;NIC;505;Córdoba nicaragüense;NIO;None
Niger;Niger;NER;227;None;None;None
Nigeria;Nigeria;NGA;234;Naira;NGN;None
Niue;Niue;NIU;683;None;None;None
Noruega;Norway;NOR;47;Corona noruega;NOK;kr
Nueva Caledonia;New Caledonia;NCL;687;None;None;None
Nueva Zelanda;New Zealand;NZL;64;Dólar neozelandés;NZD;$
Omán;Oman;OMN;968;Rial omaní;OMR;None
Países Bajos;Netherlands;NLD;31;Euro;EUR;€
Pakistán;Pakistan;PAK;92;Rupia pakistaní;PKR;None
Palau;Palau;PLW;680;None;None;None
Palestina;Palestine;PSE;970;Nuevo shéquel;ILS;₪
Panamá;Panama;PAN;507;Balboa panameño;PAB;None
Papúa Nueva Guinea;Papua New Guinea;PNG;675;Kina;PGK;None
