country;currency_name;currency_code
Afganistán;Afgani afgano;AFN
Albania;Lek albanés;ALL
Alemania;Euro;EUR
Andorra;Euro;EUR
Angola;Kwanza angoleño;AOA
Antigua y Barbuda;Dólar del Caribe Oriental;XCD
Arabia Saudita;Riyal saudí;SAR
Argelia;Dinar argelino;DZD
Argentina;Peso;ARS
Armenia;Dram armenio;AMD
Australia;Dólar australiano;AUD
Austria;Euro;EUR
Azerbaiyán;Manat azerí;AZN
Bahamas;Dólar bahameño;BSD
Bangladés;Taka bangladeshí;BDT
Barbados;Dólar de Barbados;BBD
Baréin;Dinar bahreiní;BHD
Bélgica;Euro;EUR
Belice;Dólar beliceño;BZD
Benín;Franco CFA de África Occidental;XOF
Bielorrusia;Rublo bielorruso;BYN
Birmania;Kyat birmano;MMK
Bolivia;Boliviano;BOB
Bosnia-Herzegovina;Marco convertible;BAM
Botsuana;Pula;BWP
Brasil;Real brasileño;BRL
Brunéi;Dólar de Brunéi;BND
Bulgaria;Lev búlgaro;BGN
Burkina Faso;Franco CFA de África Occidental;XOF
Burundi;Franco de Burundi;BIF
Bután;Ngultrum butanés;BTN
Cabo Verde;Escudo caboverdiano;CVE
Camboya;Riel camboyano;KHR
Camerún;Franco CFA de África Central;XAF
Canadá;Dólar canadiense;CAD
Catar;Riyal qatarí;QAR
Chad;Franco CFA de África Central;XAF
Chile;Peso chileno;CLP
China;Yuan chino;CNY
Chipre;Euro;EUR
Colombia;Peso colombiano;COP
Comoras;Franco comorano;KMF
Congo;Franco CFA de África Central;XAF
Corea del Norte;Won norcoreano;KPW
Corea del Sur;Won surcoreano;KRW
Costa de Marfil;Franco CFA de África Occidental;XOF
Costa Rica;Colón costarricense;CRC
Croacia;Euro;EUR
Cuba;Peso cubano;CUP
Dinamarca;Corona danesa;DKK
Dominica;Dólar del Caribe Oriental;XCD
Ecuador;Dólar estadounidense;USD
Egipto;Libra egipcia;EGP
El Salvador;Dólar estadounidense;USD
Emiratos Árabes Unidos;Dirham de los Emiratos Árabes Unidos;AED
Eritrea;Nakfa;ERN
Eslovaquia;Euro;EUR
Eslovenia;Euro;EUR
España;Euro;EUR
Estados Unidos;Dólar estadounidense;USD
Estonia;Euro;EUR
Esuatini;Lilangeni;SZL
Etiopía;Birr etíope;ETB
Filipinas;Peso filipino;PHP
Finlandia;Euro;EUR
Fiyi;Dólar fiyiano;FJD
Francia;Euro;EUR
Gabón;Franco CFA de África Central;XAF
Gambia;Dalasi;GMD
Georgia;Lari georgiano;GEL
Ghana;Cedi;GHS
Granada;Dólar del Caribe Oriental;XCD
Grecia;Euro;EUR
Guatemala;Quetzal guatemalteco;GTQ
Guinea;Franco guineano;GNF
Guinea Ecuatorial;Franco CFA de África Central;XAF
Guinea-Bisáu;Franco CFA de África Occidental;XOF
Guyana;Dólar guyanés;GYD
Haití;Gourde haitiano;HTG
Honduras;Lempira hondureño;HNL
Hungría;Forinto húngaro;HUF
